upc,brand_descr,actual_manuf,1/1/2011,1/8/2011,1/15/2011,1/22/2011,1/29/2011,2/5/2011,2/12/2011,2/19/2011,2/26/2011,3/5/2011,3/12/2011,3/19/2011,3/26/2011,4/2/2011,4/9/2011,4/16/2011,4/23/2011,4/30/2011,5/7/2011,5/14/2011,5/21/2011,5/28/2011,6/4/2011,6/11/2011,6/18/2011,6/25/2011,7/2/2011,7/9/2011,7/16/2011,7/23/2011,7/30/2011,8/6/2011,8/13/2011,8/20/2011,8/27/2011,9/3/2011,9/10/2011,9/17/2011,9/24/2011,10/1/2011,10/8/2011,10/15/2011,10/22/2011,10/29/2011,11/5/2011,11/12/2011,11/19/2011,11/26/2011,12/3/2011,12/10/2011,12/17/2011,12/24/2011,12/31/2011,1/7/2012,1/14/2012,1/21/2012,1/28/2012,2/4/2012,2/11/2012,2/18/2012,2/25/2012,3/3/2012,3/10/2012,3/17/2012,3/24/2012,3/31/2012,4/7/2012,4/14/2012,4/21/2012,4/28/2012,5/5/2012,5/12/2012,5/19/2012,5/26/2012,6/2/2012,6/9/2012,6/16/2012,6/23/2012,6/30/2012,7/7/2012,7/14/2012,7/21/2012,7/28/2012,8/4/2012,8/11/2012,8/18/2012,8/25/2012,9/1/2012,9/8/2012,9/15/2012,9/22/2012,9/29/2012,10/6/2012,10/13/2012,10/20/2012,10/27/2012,11/3/2012,11/10/2012,11/17/2012,11/24/2012,12/1/2012,12/8/2012,12/15/2012,12/22/2012,12/29/2012,1/5/2013,1/12/2013,1/19/2013,1/26/2013,2/2/2013,2/9/2013,2/16/2013,2/23/2013,3/2/2013,3/9/2013,3/16/2013,3/23/2013,3/30/2013,4/6/2013,4/13/2013,4/20/2013,4/27/2013,5/4/2013,5/11/2013,5/18/2013,5/25/2013,6/1/2013,6/8/2013,6/15/2013,6/22/2013,6/29/2013,7/6/2013,7/13/2013,7/20/2013,7/27/2013,8/3/2013,8/10/2013,8/17/2013,8/24/2013,8/31/2013,9/7/2013,9/14/2013,9/21/2013,9/28/2013,10/5/2013,10/12/2013,10/19/2013,10/26/2013,11/2/2013,11/9/2013,11/16/2013,11/23/2013,11/30/2013,12/7/2013,12/14/2013,12/21/2013,12/28/2013
2190827475,CASCADIAN FARM HONEY NUT O'S,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,1,3,2,0,0,2,1,0,1,1,1,1,0,1,0,2,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190845551,CASCADIAN FARM RAISIN BRAN,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2190845553,CASCADIAN FARM FRUITFUL O'S,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2190845556,CASCADIAN FARM CINNAMON CRUNCH,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,0,1,2,0,2,2,1,0,0,0
2190845557,CASCADIAN FARM MULTI GRAIN SQ,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0
2190845559,CASCADIAN FARM HONEY NUT O'S,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
2430003155,SUNBELT BRRY BASIC WHL GRN FLK,other,3,10,5,6,4,5,7,9,7,2,3,5,11,4,10,11,11,1,7,8,7,4,3,6,6,4,2,5,8,4,3,8,8,7,7,7,8,5,5,4,6,8,4,3,5,8,4,5,3,4,8,11,11,7,19,8,6,5,2,4,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000004351,QKR CAP'N CRN CHRISTMAS CRN,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58,65,37,36,21,28,31,38
3000006080,QKR CINNAMON LIFE,other,12,10,9,5,16,38,18,19,16,17,7,6,2,4,5,8,9,37,28,20,13,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006083,QKR CINNAMON LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,2,5,5,59,24,7,3,1,4,4,5,7,2,2,6,16,15,15,29,30,14,4,36,36,9,5,10,4,9,11,10,16,11,3,5,4,15,10,8,0,5,4,2,2,3,13,9,6,5,6,4,0,6,2,5,15,6,9,9,3,7,19,10,7,6,12,7,4,6,8,7,76,24,29,13,3,1,10,6,13,20,6,7,1,3,4,4,5,4,15,20,3,3,7,4,3,40,71,21,12,5,2,7,6,7,4,5,2,10,11,10,9,4,10,18,18,8,7,6,14,4,15,26,10,8,6,3,2,13,4,7,15,37,27,3
3000006110,QKR LIFE,other,17,17,5,13,23,35,26,25,17,16,14,8,14,6,7,13,16,35,29,28,21,24,13,17,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006119,QKR LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,95,37,27,27,15,25,19,23,19,20,11,20,16,25,29,37,36,42,31,60,35,16,24,19,25,19,14,22,17,12,12,11,18,23,15,31,15,14,13,17,10,20,17,22,29,29,11,13,19,7,10,8,22,22,19,11,10,20,36,23,17,14,41,29,16,25,15,15,134,40,54,18,16,15,15,23,41,30,20,18,18,5,1,0,11,10,33,43,7,15,15,8,14,53,135,24,29,11,14,18,21,17,17,17,24,22,20,23,32,17,19,27,27,14,28,16,16,10,24,33,24,6,12,8,18,19,7,6,30,47,10,9
3000006140,QKR CAP'N CRN CRN BRY,other,21,18,17,7,23,40,34,32,27,27,21,27,13,15,15,23,27,62,56,65,11,13,13,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006141,QKR CAP'N CRN CRN BRY,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,112,18,23,25,12,10,16,22,12,5,8,22,14,21,24,35,35,6,7,58,59,15,6,14,19,14,13,9,15,18,13,6,13,51,26,6,6,9,10,7,5,15,31,23,23,18,18,10,11,2,8,11,28,28,45,29,7,15,59,36,33,23,35,71,59,18,13,5,130,24,31,6,10,9,3,10,33,34,7,9,7,10,10,6,2,15,109,57,4,13,12,6,7,73,238,83,27,29,21,11,6,10,12,16,11,6,10,21,20,9,8,16,18,11,11,12,9,10,15,18,22,7,4,4,15,13,7,11,15,38,13,8
3000006150,QKR ESSENTIALS OATMEAL SQUARES,other,7,15,12,49,3,4,9,13,19,14,25,23,13,15,9,10,9,9,11,7,6,15,5,8,10,19,17,23,21,24,18,16,15,22,24,47,19,19,18,15,11,16,8,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006150,QKR OATMEAL SQUARES,other,7,15,12,49,3,4,9,13,19,14,25,23,13,15,9,10,9,9,11,7,6,15,5,8,10,19,17,23,21,24,18,16,15,22,24,47,19,19,18,15,11,16,8,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006153,QKR OATMEAL SQUARES,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,9,6,6,11,12,7,3,8,11,41,9,11,21,10,12,5,15,19,17,13,5,8,3,7,5,16,9,8,7,7,12,8,10,13,18,9,8,8,5,3,5,5,2,1,5,17,9,21,7,13,8,5,5,5,7,6,5,5,1,10,4,0,0,0,0,8,13,5,9,7,4,7,12,30,10,7,4,2,11,17,11,6,2,4,6,4,12,5,4,10,3,9,3,4,7,12,8,5,11,4,10,2,12,11,6,6,3,6,6,1,6
3000006211,QKR CAP'N CRUNCH PEANT BTR CRN,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,49,9,9,8,5,62,17,28,3,6,5,6,6,25,29,8,4,5,0,0,0,13,0,0,0,0,0,0,0,0,47,102,20,9,5,10,7,3,1,7,5,4,3,2,8,10,3,4,17,12,4,3,8,12,6,5,5,11,4,4,3,12,10,5,4,6,24,13,6
3000006300,QKR CAP'N CRN,other,12,12,11,5,15,29,18,21,16,10,9,5,9,5,3,7,9,18,32,31,8,6,4,6,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006301,QKR CAP'N CRN,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,2,4,3,6,2,4,3,3,1,3,8,17,12,16,22,3,1,27,30,7,2,6,13,9,4,2,4,10,5,2,12,19,4,7,2,6,6,2,4,8,12,11,18,6,4,3,3,2,4,4,12,9,12,10,4,8,35,15,12,13,19,28,26,7,6,5,82,22,21,3,7,5,5,3,27,8,4,3,2,7,3,4,4,6,49,54,2,8,4,5,3,27,135,26,9,4,7,5,1,3,4,6,4,2,6,6,9,5,3,4,6,5,2,3,3,2,9,12,9,2,2,1,3,6,4,0,11,31,8,3
3000006311,QKR QUISP,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,16,9,28,10,4,1,3,0,3,5
3000006320,QKR CINNAMON LIFE,other,9,4,8,80,3,9,5,4,4,3,5,6,5,6,19,104,12,4,3,3,7,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006322,QKR CINNAMON LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,3,1,6,25,34,24,31,20,33,23,9,31,39,13,26,4,0,15,12,16,11,2,2,3,5,1,11,5,3,1,1,6,109,4,6,8,1,8,4,21,37,9,10,26,20,3,1,44,24,12,25,63,16,18,11,13,27,19,33,6,6,2,1,1,1,4,4,8,39,14,8,8,15,2,17,19,2,2,4,8,10,49,9,26,36,28,8,6,12,5,62,16,10,5,3,7,9,7,2,1,2,9,48,2,3,0,21,2,5,3,2,4,56,147,86,1,3,13,23,9,2,1,5,10,13,1,2,5,2,1,0,9,1,2
3000006340,QKR LIFE,other,17,22,11,58,13,14,9,6,14,9,19,15,18,14,23,114,25,11,12,14,5,2,6,0,8,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006354,QKR LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,109,19,11,19,21,23,27,33,25,30,24,5,29,44,23,17,8,18,14,14,24,18,4,5,17,7,4,14,5,8,13,20,12,96,19,11,11,10,14,17,16,69,12,14,38,13,9,11,37,29,8,28,61,29,29,26,18,27,31,31,18,18,7,2,9,10,8,10,14,46,25,18,6,10,11,14,23,8,10,7,2,19,44,27,38,63,33,9,20,15,10,62,28,11,19,15,12,11,10,9,8,19,10,32,11,10,10,19,16,9,7,10,6,67,125,38,9,12,16,22,8,11,4,8,21,19,7,13,15,9,5,11,10,5,15
3000006403,QKR OATMEAL SQUARES,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,5,1,5,6,3,2,2,2,4,3,2,0,7,2,4,4,4,2,5,4,3,3,2,5,2
3000006430,QKR ESSENTIALS OATMEAL SQUARES,other,12,17,9,75,7,5,15,9,23,38,36,49,28,33,13,14,15,20,15,18,18,17,16,13,11,25,36,27,35,42,19,33,40,39,21,84,29,13,22,34,19,24,14,12,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006430,QKR OATMEAL SQUARES,other,12,17,9,75,7,5,15,9,23,38,36,49,28,33,13,14,15,20,15,18,18,17,16,13,11,25,36,27,35,42,19,33,40,39,21,84,29,13,22,34,19,24,14,12,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006441,QKR OATMEAL SQUARES,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,10,9,10,10,13,8,9,12,8,70,11,4,26,12,14,3,14,14,14,9,14,13,18,10,11,15,19,16,5,8,11,14,14,17,24,25,23,7,12,5,4,5,7,10,21,26,14,16,15,29,22,12,3,7,5,18,10,8,3,9,10,12,8,6,14,23,24,5,9,5,9,7,19,61,17,7,9,7,16,23,18,3,5,7,5,5,6,8,3,9,3,6,2,6,9,11,7,6,7,4,9,2,3,10,8,2,5,6,4,1,1
3000006442,QKR OATMEAL SQUARES,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,5,0,1,0,1,2,4,5,9,3,12,2,2,9,4,2,1,3,5,2,0,0,0,2,1,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006500,QKR CAP'N CRN PNT BTR,other,11,23,16,118,8,10,20,9,12,12,17,13,10,15,31,156,34,26,8,13,10,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006507,QKR CAP'N CRUNCH PEANT BTR CRN,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,168,72,53,22,65,78,75,38,47,54,44,10,15,99,32,30,20,21,21,67,26,36,7,12,10,8,9,23,13,13,5,14,28,151,13,14,23,16,4,13,29,63,16,15,76,44,26,7,60,54,15,22,70,45,25,6,6,28,99,29,17,10,14,8,6,4,5,18,17,39,19,22,5,9,3,18,7,1,4,8,16,30,52,36,65,96,41,9,10,12,12,63,22,13,3,7,10,13,6,2,1,6,19,43,1,9,6,25,49,54,71,6,6,69,244,132,2,6,16,37,5,2,6,26,21,16,4,6,9,5,2,4,7,2,8
3000006531,QKR CAP'N CRN,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,37,52,6,29,49,75,32,29,43,49,18,4,60,23,28,15,16,8,24,13,38,7,8,7,6,5,7,8,4,1,9,22,90,5,6,7,5,2,6,10,62,17,9,45,35,13,5,66,51,16,10,46,36,23,7,3,27,46,14,12,6,7,6,4,4,3,6,8,44,22,7,2,2,6,16,6,4,4,6,15,17,42,20,33,54,35,1,15,8,5,43,30,14,8,7,4,5,2,4,8,9,9,41,5,9,8,21,40,45,54,21,6,50,169,91,3,4,11,32,9,2,5,9,13,7,3,7,2,6,6,1,10,5,6
3000006551,QKR LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,19,0,0,3,0,1,2,7,9,4,3,6,7,5,2,6,9,12,3,3,4,2,7,20,61,17,10,8,3,1,9,3,0,1,1,2,6,4,3,2,7,6,10,3,3,5,2,3,5,2,3,5,5,3,1,8,4,2,2,9,5,2
3000006552,QKR LIFE,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,3,2,3,6,6,14,5,9,2,5,5,4,7,1,3,0,0,6,14,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006560,QKR CAP'N CRN CRN BRY,other,9,13,12,196,19,24,39,22,24,22,13,13,7,7,40,224,39,14,3,6,14,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000006567,QKR CAP'N CRN CRN BRY,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,185,77,34,22,80,81,69,36,42,77,54,12,19,120,54,44,10,6,27,78,28,25,3,9,7,5,3,18,15,8,6,18,24,167,10,12,15,6,3,11,37,92,19,10,102,44,20,10,109,55,16,17,84,45,38,11,5,48,87,23,16,4,18,9,10,2,8,13,15,67,27,20,4,8,4,42,9,6,7,9,23,38,72,40,67,89,59,5,18,16,9,79,24,12,7,7,12,13,3,7,5,15,22,52,8,11,14,46,66,55,62,0,9,113,288,105,5,9,26,55,17,6,13,32,29,28,4,9,14,6,6,3,19,8,9
3000006610,QKR CAP'N CRN,other,6,1,2,84,10,19,22,17,2,9,9,8,5,2,20,133,15,7,6,7,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
