upc,brand_descr,actual_manuf,1/1/2011,1/8/2011,1/15/2011,1/22/2011,1/29/2011,2/5/2011,2/12/2011,2/19/2011,2/26/2011,3/5/2011,3/12/2011,3/19/2011,3/26/2011,4/2/2011,4/9/2011,4/16/2011,4/23/2011,4/30/2011,5/7/2011,5/14/2011,5/21/2011,5/28/2011,6/4/2011,6/11/2011,6/18/2011,6/25/2011,7/2/2011,7/9/2011,7/16/2011,7/23/2011,7/30/2011,8/6/2011,8/13/2011,8/20/2011,8/27/2011,9/3/2011,9/10/2011,9/17/2011,9/24/2011,10/1/2011,10/8/2011,10/15/2011,10/22/2011,10/29/2011,11/5/2011,11/12/2011,11/19/2011,11/26/2011,12/3/2011,12/10/2011,12/17/2011,12/24/2011,12/31/2011,1/7/2012,1/14/2012,1/21/2012,1/28/2012,2/4/2012,2/11/2012,2/18/2012,2/25/2012,3/3/2012,3/10/2012,3/17/2012,3/24/2012,3/31/2012,4/7/2012,4/14/2012,4/21/2012,4/28/2012,5/5/2012,5/12/2012,5/19/2012,5/26/2012,6/2/2012,6/9/2012,6/16/2012,6/23/2012,6/30/2012,7/7/2012,7/14/2012,7/21/2012,7/28/2012,8/4/2012,8/11/2012,8/18/2012,8/25/2012,9/1/2012,9/8/2012,9/15/2012,9/22/2012,9/29/2012,10/6/2012,10/13/2012,10/20/2012,10/27/2012,11/3/2012,11/10/2012,11/17/2012,11/24/2012,12/1/2012,12/8/2012,12/15/2012,12/22/2012,12/29/2012,1/5/2013,1/12/2013,1/19/2013,1/26/2013,2/2/2013,2/9/2013,2/16/2013,2/23/2013,3/2/2013,3/9/2013,3/16/2013,3/23/2013,3/30/2013,4/6/2013,4/13/2013,4/20/2013,4/27/2013,5/4/2013,5/11/2013,5/18/2013,5/25/2013,6/1/2013,6/8/2013,6/15/2013,6/22/2013,6/29/2013,7/6/2013,7/13/2013,7/20/2013,7/27/2013,8/3/2013,8/10/2013,8/17/2013,8/24/2013,8/31/2013,9/7/2013,9/14/2013,9/21/2013,9/28/2013,10/5/2013,10/12/2013,10/19/2013,10/26/2013,11/2/2013,11/9/2013,11/16/2013,11/23/2013,11/30/2013,12/7/2013,12/14/2013,12/21/2013,12/28/2013
1600027511,G M COCOA PUFFS,G M,9,10,24,9,7,9,11,80,11,7,58,13,17,11,12,10,8,26,6,10,3,7,6,137,105,17,14,23,83,67,8,10,164,13,13,70,17,11,35,11,12,13,34,21,9,16,2,5,4,8,6,9,11,8,7,8,5,12,16,15,151,13,27,76,18,8,7,10,8,45,18,10,8,10,18,82,21,14,3,12,14,6,3,5,121,23,4,5,9,78,110,37,31,47,78,26,11,20,7,1,12,9,10,7,11,10,5,10,7,7,18,9,15,39,25,23,79,15,16,17,9,12,11,52,23,7,10,22,67,7,18,61,7,9,11,8,118,18,8,7,4,15,196,55,8,131,44,5,11,35,9,9,15,98,22,11,10
1600027512,G M HONEY NUT CHEERIOS,G M,22,21,42,24,25,35,41,25,27,27,23,24,19,20,25,23,18,21,20,26,20,26,29,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027513,G M TOTAL RAISIN BRAN,G M,4,5,1,3,3,4,2,5,5,5,4,4,6,3,8,8,2,4,6,7,5,2,6,3,5,3,3,4,6,4,3,8,5,4,2,3,6,5,6,2,5,6,2,0,3,0,2,0,3,4,2,3,8,2,4,3,2,1,5,5,4,2,3,2,4,4,2,4,2,0,4,3,2,0,1,4,7,3,5,1,7,5,2,4,4,2,1,3,5,2,6,5,4,2,4,1,4,1,2,1,4,0,1,0,0,2,2,1,1,1,1,7,2,1,4,2,2,0,0,1,4,1,0,2,4,3,0,27,4,2,2,1,4,1,0,3,16,2,1,1,1,3,2,1,6,4,1,2,2,1,2,3,1,4,1,1,1
1600027514,G M TOTAL RAISIN BRAN,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027515,G M MULTIGRAIN CHEERIOS,G M,2,8,13,11,4,4,9,41,8,21,32,21,10,7,3,6,8,31,7,1,6,4,6,92,31,20,12,38,71,36,3,14,100,14,15,47,9,13,34,6,4,12,24,11,7,6,5,2,4,5,7,4,3,6,6,4,6,4,5,6,58,7,4,31,6,4,3,1,8,21,9,1,1,0,13,47,13,4,3,3,0,3,2,2,97,10,0,1,5,42,54,28,20,28,44,6,7,2,1,3,1,3,4,1,0,2,1,2,0,4,3,5,2,21,10,12,65,4,7,6,4,2,6,3,2,0,2,5,0,2,4,21,4,3,2,1,5,2,0,32,9,12,7,6,11,3,5,2,0,47,3,4,1,3,3,2,5
1600027516,G M GOLDEN GRAHAMS,G M,10,7,17,11,7,8,11,50,8,9,56,11,9,7,9,7,2,44,3,6,2,9,6,159,186,58,16,25,76,94,13,13,130,21,22,53,34,18,38,10,15,35,38,33,9,14,11,16,8,8,13,9,5,15,9,6,9,4,11,7,135,12,15,31,11,6,16,6,14,26,9,11,9,9,18,63,11,4,7,4,10,2,5,8,104,24,9,5,12,69,136,35,34,20,71,23,5,17,16,6,11,14,14,7,10,13,14,10,7,8,5,8,6,37,26,12,79,17,12,11,7,10,5,18,13,8,7,23,32,12,6,34,13,11,8,6,55,8,5,6,5,20,171,70,10,127,15,1,9,24,12,12,11,47,22,10,4
1600027517,G M COOKIE-CRISP,G M,13,132,56,24,104,9,167,19,63,14,13,94,20,14,211,26,11,4,12,16,4,2,5,37,80,80,9,16,27,18,190,12,9,94,17,10,130,27,17,87,22,53,22,11,63,33,33,5,130,28,16,33,82,24,10,9,112,21,105,21,8,10,16,21,17,82,18,18,7,7,12,24,10,17,14,46,88,119,24,26,27,13,11,13,16,13,11,9,103,17,9,5,11,14,104,13,63,25,13,6,68,26,22,9,7,31,61,17,7,66,49,7,3,9,9,12,61,18,9,19,10,60,19,9,7,13,9,111,11,9,9,6,16,103,11,8,15,11,120,16,14,14,7,13,11,17,10,10,9,27,9,15,5,6,11,8,6
1600027518,G M APPLE CINNAMON CHEERIOS,G M,4,8,11,4,7,5,8,8,7,6,8,3,8,9,4,5,4,3,3,7,7,3,0,9,7,5,6,3,7,4,9,4,3,6,7,2,9,7,7,7,10,13,7,2,7,2,2,7,8,6,10,3,4,2,4,4,1,8,5,4,4,4,4,4,3,3,3,3,6,7,2,26,7,2,4,1,4,5,1,5,2,3,2,2,3,4,2,2,5,17,13,10,3,3,2,6,5,5,3,2,3,3,3,0,1,2,3,6,2,7,1,2,2,6,4,2,7,6,1,5,2,2,2,3,3,3,2,4,4,1,3,5,3,6,2,3,3,3,1,31,9,13,2,6,3,3,2,3,1,3,5,2,2,0,5,3,1
1600027519,G M CINNAMON TOAST CRUNCH,G M,21,20,46,19,13,27,20,20,14,12,28,19,15,15,24,24,14,15,18,26,11,15,14,16,14,20,14,23,37,12,10,19,24,15,10,12,43,48,21,21,12,32,18,18,28,39,49,32,19,29,35,15,25,16,26,22,21,19,33,20,17,22,30,27,9,20,23,36,23,16,27,39,18,17,13,38,21,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027522,G M TOTAL WHOLE GRAIN,G M,1,23,5,6,10,3,18,2,7,0,7,17,3,2,53,2,2,0,4,0,3,0,3,10,4,8,2,8,6,7,59,10,2,15,10,5,27,5,14,30,9,4,8,5,11,8,4,2,19,10,0,11,9,6,2,4,18,3,9,5,9,4,5,5,4,22,4,7,2,5,6,3,2,3,5,15,4,30,11,7,6,11,4,2,11,6,4,4,13,5,4,1,4,4,17,7,11,5,5,3,13,6,1,3,4,42,3,8,3,8,8,6,2,1,2,3,10,8,6,3,5,8,3,5,2,1,4,38,1,1,3,4,1,3,4,3,23,0,4,2,0,3,1,2,4,2,3,3,1,3,3,2,2,3,3,1,6
